file	target
R/package_metadata/new_feature_plans/multivariate_response_type_report.md	../EDI/R/simulations_framework.R:105
R/package_metadata/new_feature_plans/multivariate_response_type_report.md	../EDI/R/simulations_framework.R:126
R/package_metadata/new_feature_plans/multivariate_response_type_report.md	../EDI/R/simulations_framework.R:3106
R/package_metadata/new_feature_plans/multivariate_response_type_report.md	../EDI/R/simulations_framework.R:3106
R/package_metadata/new_feature_plans/multivariate_response_type_report.md	../EDI/R/simulations_framework.R:329
R/package_metadata/new_feature_plans/multivariate_response_type_report.md	../EDI/R/simulations_framework.R:625
R/package_metadata/new_feature_plans/multivariate_response_type_report.md	references/response_types_landscape_report.md
R/package_metadata/new_feature_plans/ordinal_gee_cpp_kernel_spec.md	../EDI/R/inference_mixin_kk_gee_shared.R
R/package_metadata/new_feature_plans/ordinal_gee_cpp_kernel_spec.md	../EDI/R/inference_ordinal_KK_combined.R
R/package_metadata/new_feature_plans/ordinal_gee_cpp_kernel_spec.md	../EDI/src/fast_gee.cpp
R/package_metadata/new_feature_plans/ordinal_gee_cpp_kernel_spec.md	../EDI/src/fast_ordinal_regression.cpp
R/package_metadata/new_feature_plans/ordinal_gee_cpp_kernel_spec.md	../EDI/src/ordinal_fixed_link_helpers.h
R/package_metadata/new_feature_plans/ordinal_gee_cpp_kernel_spec.md	../package_tests/path_audits_source.R
R/package_metadata/new_feature_plans/prw_subsampling_implementation_spec.md	../package_tests/path_audit_hardening_report.md
R/package_metadata/new_feature_plans/prw_subsampling_implementation_spec.md	m_out_of_n_bootstrap_implementation_spec.md
R/package_metadata/new_feature_plans/prw_subsampling_implementation_spec.md	m_out_of_n_bootstrap_implementation_spec.md
R/package_metadata/new_feature_plans/public_diagnostics_api_spec.md	../package_tests/path_audit_hardening_report.md
R/package_metadata/new_feature_plans/quantile_regression_cpp_kernel_spec.md	../package_tests/path_audits_source.R
R/package_metadata/new_feature_plans/rank_choice_response_type_report.md	references/response_types_landscape_report.md
R/package_metadata/new_feature_plans/rank_choice_response_type_report.md	references/response_types_landscape_report.md
R/package_metadata/new_feature_plans/rank_choice_response_type_report.md	references/response_types_landscape_report.md:641
R/package_metadata/new_feature_plans/rank_choice_response_type_report.md	references/response_types_landscape_report.md:641
R/package_metadata/new_feature_plans/robust_regression_perf_optimization_spec.md	../EDI/R/inference_continuous_robust_regr.R
R/package_metadata/new_feature_plans/robust_regression_perf_optimization_spec.md	../EDI/src/_helper_functions.h
R/package_metadata/new_feature_plans/robust_regression_perf_optimization_spec.md	../EDI/src/fast_robust_regression.cpp
R/package_metadata/new_feature_plans/robust_regression_perf_optimization_spec.md	../package_tests/path_audits_source.R
R/package_metadata/new_feature_plans/robust_regression_perf_optimization_spec.md	perf_experiments_final.md
R/package_metadata/new_feature_plans/semi_continuous_response_type_report.md	references/response_types_landscape_report.md
